Sentimen,Comment
0,2 3 tutup botol muka lu kek kontol wkwk
1,Pada ribet kayak udah pada benar aja lu semua
1,Lucunya berasa kayak kaka dan adek
1,"Gatau lagi, serasa nonton wtf beneran di jkt meski virtual and thankyouu for the performance kak syan! Selalu keren dan pecah! Tak pernah sekalipun mengecewakan"
1,Lu diem aja cantik mel kalo ga banyak gaya serius
0,"Males beli gua,gara gara ada lonte"
0,Erick masuk neraka jalur selingkuh bos
0,Kasian anjing nya di pegang babi
0,Kok meldi di foto aku gendut beda
0,Gua berharap lu aja si yg sakit bukan laura lol
0,"selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT"
1,Meldi ini lama lama cantik loh tinggal dibenerin akhlak dan adabnya pasti makin sip
0,Aduh dugong masih aja gila filter….
1,"salfok sama kaki, tapi cantik banget asli"
1,Fix yang komen semua nyela
0,Eh bocah mending Lo mati aja GAK guna juga ada orang kayak lo hahahahaha
1,Ya allah ga tau knp ak suka setiap lihat nagita pake dress modelnya cakep cakep
0,Dikasih bidadari malah milih setan
1,"Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap"
0,"Muka nya kok gitu, seren bikin mual liatnya"
0,Si anjing ketika berfoto dengan si anjing
0,Manusia anjing. Nyari uang gitu amat. Lo kerja aja sama gue nyebokin gue ntar gue gaji lo.
1,Cantik bajunya keren warnanya bikin pangling
1,Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica
0,Lo kira lo bagus tuh begitu anjing wkwkw
0,Kasian kebelet artis tapi gak punya bakat
1,HEH UDH NAPA HATE NYA CAPE GW BACA NYA
1,mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.
0,serem banget muka lo mel kayak ayam potong merah banget
1,Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian
1,Saya segenap hati minta maap
0,Mukak lo kayak tapir kuda asu sok ganteng banget lo
1,maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa
0,Intinya gasuka ajg selama ada listy . Ngrusak suasana
1,yash we the fest even virtual tapi tetep keren bgt kak syann huaaa energi nya dpt bgt
1,Sutan kamu sangat lucu dan menggemaskan
0,Di foto ini ada 2 anjing dan 1 kontol
0,SIKAP MU LEBIH NAJIS DARIPADA LUDAH ANJING!
0,Perlahan karirmu ancur bro dan lu akan kembali kebawan
1,Sudah dongggg dan sudah di liked juga.. congratulations
0,Lupa di edit ya tu muka melar
1,Cintamu hanya sebatas kertas wkwkw enteng bang
1,"Demi apa, Kak Yaya gk pernah ngeRAGUin para pendengar lagu2 nya"
1,"Sampe ga bisa berkata2 lagi buat isyana, sangat2 sempurna org ini"
1,"Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga."
0,bisa mati aja ga? gedeg gua liat lu. ANJIM
0,Ada 3 Ajg Dan Yg Punya Tato Bener2 Ajg
0,Lu bener' ga.kalo sempet nyakitin lora gue santet!!!!!
0,Karena muka kayak elo pasaran dan murah…
1,"OOTD mama gigi simple tapi elegan dilihat nya, masyaallah"
0,Tangannya hitam… beda ama muka
0,Cakep kaga jelek iya HAHAH
1,"Ragu aja cantiknya udh kek gini, gmn kl yakin yak, cantiknya kek apa, heran"
0,Dasar cewe lo itu LONTE tau kau!
0,Harusnya lo aja yang menderitaaa bukan lora anj!!!!!!!!!
1,"Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani.."
1,"Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank"
1,"Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,"
1,Unfoll aja daripada kalian dosa ngebully2 terus..
0,Biar di edit2 kaya apa juga tetap aja ketiak hitam nya ga bisa di bohongin
0,Setan ma setan mahh emg cocokk udee
0,Kasihan ular dibawa bawa kamu gak pantas jadi ular pantasnya jadi bunglon atau buaya..
1,"Kaka tidur yaa, udah pagi, gaboleh capek2"
0,Udah jelek gak usah d jelek2 in lagi bro
1,Cantik banget semoga sehat selalu kakak panutan
1,"Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu"
1,dahlahh emang cantik luar dalam kmu ini cippp
1,Meldi aku perhatikan kamu seperti orang china deh.. cantik
1,Yang satu nya mirip Ariana grande
0,"GAGA SEMPET BENERAN LORA LO TINGGALIN, LO ORANG PALING JAHAT GA!!!! LO GAK BAKAL BAHAGIA GA"
1,Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada
1,"Ga ada yang dibawah Meldi, semuanya setara, ada kekurangan ada kelebihan"
1,"Ragu aja cantik kan kak, apalagi kalau serius"
0,yang aku suka dari dia adalah selalu cukur jembut sebelum manggung
1,Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami
1,"Elu juga semoga semakinlebih baik dalam segala hal, terutama akhlak dan etikanya"
0,maklum anak kurang pendidikan kayak gitu gak punya akhlak
1,Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna
0,Lututnya masih hitam gosok maning biar tambah cling dan cantik
0,Lengannya gempal banget sih HAHA
0,INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA
0,"@rangga_kanahaya knp gk truck sampah, kek mukanya sampah"
1,Sumpah demi allah bagus bangett kereennn merinding ak nya.. dengerin sampe abis tiba2 aja ampe netesin air mata
1,Emang kalian se suci apa sampai nghina dia segitu nya
1,"cewe cakep, setia kok disia sia in sahabat"
0,mau bilang jelek nya ga enak hehe …
0,"NARKOBOYY NGELUARIN LIDAHH, AJG MAU APA, MAU TES URIN"
1,Damage nya cewek pinter gada lawann
0,"Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe"
1,HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin
1,"Selamat ulang tahun mel, udah yah jangan banyak tingkah"
0,Mukanya kayak lagi ngeden pas boker
1,"Liriknya pendek tp susah di hafal pas awal awal, begitu di puter beberapa kali eh kok candu banget"
0,Gajadi beli Model murahan barang pasti murahan
0,"Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha"
1,"Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga"
0,Nggak ngumpul bareng mami isa lagi kan kamu yang paling gembrot disana
1,"Awalnya ngira baju endorse dari KFC, mirip '-'"
1,Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!
1,Lama lama mirip dewi persik ya
0,Ni org jelek ga ada obat.kok jj mau liat apa ya..
0,ih mukanya kek anjing rumah gwa
0,"youtuber toxic, tutup akunmu sekalian tutup usia"
0,"Gajadi beli, takut ketularan lonte nya"
1,congrats kak isyan semoga semua impian-impian baiknya segera bisa terwujud aamiin
1,"Kalau pas penempatannya, sebenernya kamu imut banget loh mel."
1,"Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy"
0,"Palsu badane diedit semua tu, aslinya dimana2 lemak"
0,"Caption aja COPAS! Cantumin credit dong, dasar iblis"
1,Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya
0,Muka lu kok cabul banget sih bg hahah
0,@ayu.kinantii isyan skrg berubah ya:( baju nya nakal
1,"mba isyana udah cantik suaranya bagus kompeten pula, ah sukaaaa"
1,"kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha"
1,"Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)"
1,"banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya"
0,Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah
1,Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu
1,Suka banget sama rambutnyaa tambah ganteng
1,Selamat ulang tahun meldi sukses dan sehat terus ya….
0,Apa ganteng nyasih anjing.. Kucel gini jadiin model
1,Semoga sehat selalu bayi dalam kandungan nya sama ibunya ya.
0,"Maap ye…muke lu udh jelek kaga usah sok selingkuh,cakepan anjing gua noh"
0,"Woy Lutfi asu , sok asik Lo ANJING !"
0,Dikasi BIDADARI MALAH PILIH BABI
1,Penyihir secantik ini gue rela dikutuk jadi tokek laut
1,Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu
1,"Kangen nonton konser isyan secara lgsg, meskipun msh bisa virtual, Cuma experience-nya lebih dapat aja gitu"
0,"Masih jauh kalo ngarep bisa ikutan kontes miss earth , makanya dari kecil les inggris biar lidahnya gak keseleo"
1,AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget
1,"Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha"
0,kebanyakan nyabu jadi kurus lu
1,Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu
1,Mbak mell sehat dan sukses ya
1,guys dr pd comment2 mending unfoll sm unsubscribe aja yaa
1,Terima kasih kak Nagita @raffinagita1717 sudah support Molly si gajah dan satwa-satwa di Bali Zoo lainnya dengan kunjungannya bersama keluarga
1,"Foto jelek dihujat, foto ganteng dibilang sok ganteng"
0,Bra nya kedodoran kak make ukuran gede yaa
0,Ih ko muka jelek banget siii serem kek setan
0,Wiii anjay kapan lagi liat babi megang 2 anjing
1,Bagusan foto pakai masker drpd gak pakai masker
1,Kak jerome kayak boneka tau hahah
0,sumpah aslinya muka lo lebar kayak baskom loh mel @rosameldianti_
0,"Kasian editornya sih ini, nanggung dosa banget kayaknya ngeditnya offside gini"
0,"Ketiak hitam buluk mau lu edit nutupin daki diketek lu tetap aka hitam ketiak lu, dasar Dugong @rosameldianti_"
1,ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir
0,Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu
0,"Ternyata sipat anjing bukan hanya ada di anjing doang ya,di manusia sipat anjing juga ternyata ada"
0,Kok anaknya kayak udah tua gitu ya mukanya kk tasya
1,Berkarya teros meldi walo ga ada yg nuntun kamu.
1,"Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu"
1,"Warna yang paling bikin Raisa makin shinning itu merah, hitam, putih, pink and emerald"
1,Saya berharap kak @isyanasarasvati panjang umur. Sehingga bisa jadi inspirasi untuk musisi seluruh Indonesia. Saya suka musik indonesia dengan adanya kak Isyana
1,definisi minat ketemu bakat ketemu kerja keras
0,Kasian anjingnya dipeluk sma sampahh
0,"Inget yg di potong itu masalah nya bukan hubungan nya, tapi kalo udah gini sembeleh aja orang nya :) udah terlanjur kecewa"
1,Setengah iri setengah jadi motivasi ini
0,"Gatau sih, cantik tapi gak ada aura nya sama sekali . Cantik tapi idih gitu lihatnya , kenapa yaa ??"
0,Udah dapat kontrak dari skincare ttp aja buluk mel
0,"MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING"
1,Motivasi ku ka Maudy cantipp bngt
0,2 ekor anjing dan satu buaya makan jambut
1,"Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm"
1,"Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan"
0,Hidup itu jngn keterlaluan boss playboy amat ajg luu
0,"muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu"
1,Cantik semua congrats kak msuk nominsi tc candler
0,Meldi udah dapat kontrak endorse skincare ya tapi kok mukanya tetap jelek si?
1,Lu mirip anaknya kick andy yg namanya marlo bang
0,Napa lu balik dari penjara sih?
1,Hbd cantik semoga kedepannya tambah sukses
1,Di maafin aaa… semoga dia jera untuk kedepannya…
1,"Kok mirip siwon ya lama2, apa perasaan gw aja."
1,ka nisa mirip ariana grande masa
1,Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk
1,Kaya ny gajahnya merasakan aura positif nya mb gigi itu… kelihatan sumringah jg gajahnya loo..
0,Sakit jiwa ini upil gajah… Kasihan
1,Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu
0,Lebih najis elu daripada anjing!
1,Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory
0,Itu yang foto ketiga jablay murahan bukan?
1,"Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin"
1,Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu
0,Maap kalau gua sering nyamain lu sama dugong soalnya emang mirip
1,MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa
1,Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu
0,Muka buluk kepedean lagi.. muka udah tua
0,DIKASIH BIDADARI MAUNYA BONEKA SANTET
1,"Yaudah jd pengusaha kuliner aja gausah artis, makanannya emang bikin ngiler sih wkwkw"
1,Trs berkarya walaupun brd di titik sprti ini
0,"dia ini siapa sih??? Artis bukan, jelek mah iya mukanya iyuhhh"
0,loh kok ak liatnya anjing semua yaa
0,Muka anak nya ko tua banget yaa.. GK ngegemesin GK ada lucu2nya
0,Dikasih bidadari malah milih dajjal awokawok:v
1,Nih orang manis bnget sihh ga ngerti lagi
0,"Meldi, emaknya buka klinik totok aura kayaknya anaknya gak pernah ditotok ya… auranya gak keliatan yg ada malah butek"
1,Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2
1,"Okay bro kalem aja, tetap semangat dan jangan putus asa"
0,Di atm tinggal 150 ribu aja banyak gaya lu dugong
1,Buset hate comment ampe postingan paling bawah
1,Tambah gede aja rafathar ya tambah pinter ya Rafathar
1,Hai kak Isyana aku ngefans banget sama kak Isyana.aku paling suka lagu kak Isyana itu lagu tetap didalam jiwa
0,"@_dy1412 buset cantik diedit aja mba, coba dah aslinya dah kayak buntelan kentut…"
1,Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda
0,Anjirlah muka lo kek kuntilanak malah sok cantik
0,potret seorjing memegang anjing kwkw
1,Dua2 nya cantik banget masya Allah
1,Semangat Rick untuk usaha barunya
1,Sumpah sekarang aku respect banget sama kamu
0,"Ketiaknya habis di amplas mel, alus banget"
1,Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol
1,makan nasi padang aja begini badannya
0,Titisan dakjal emg lo nyet
0,Iya lo kamu mirip monyet mel
0,Dulu Bahagia Sekarang Banyak Utang
0,Sepertinya Lutfi setelah putus dgn salsa seperti orang stress
1,Ka yaya kalo ragu tetep secantik itu yah :)
1,Gila Netizen pada sempurna ngehina orang terus
0,Udah tutup mulut nya bau kambing
1,"Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka"
1,Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang
0,"Karena muka lo pasaran mel, di pasar sapi juga ada yang mirip noh"
0,Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.
1,Postingan pertama jg dihujat dong gila netijen
1,Meldi tambah kurusan sekarang ya??? Cantik walaupun tanpa make up…
1,Dah lah. Gw capek baca komen kalian
1,"Gilaaaa.. gila.. gilaaaa Tangan, kaki, ekspresi, n emosi tertuang adi suatu karya yg fantastis"
0,"Eh ada pelakor, pas banget frame ke tiga, orang ke 3"
0,IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO
1,Pakaian apapun yg dipake mama gigi selalu keceee
0,Meninggalkan berlian demi Tai Sapi
1,Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya
0,Gw melihat cewek murahan di postingan ini
1,"Ya Allah ni orang apa peri, cantik amatt"
0,Astaga… Ratu edit muka.. Sumpah seren kayak film setan2 gitu…..
1,Mending lu pada tobat dah
1,Banyak yg kecewa karena lu begini rik!!!!
0,Muka Pasan sok sok an mau sm lonte lo anjing
0,"senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing"
0,MELET MULU SETAN KAYA ULAR
1,Ngga alay. Ngga muluk muluk. Natural. Sukaaaa
0,ini foto apa w masukin museum aja ya ga ada pantas2nya
1,"MashaAllah… udh cantik, pinter, jago nyanyi dn mainin alat musik pula neng @isyanasarasvati ngefans bener ini mah"
1,Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono
1,"hua seneng bgt kmrn walaupun Cuma 35 menitan tp seneng liat isyan, adaptasi kebiasaan baruku semoga bisa lebih teratur maemnya, ditunggu karya selanjutnya kaka"
1,Masyaallah cantik terlihat sopan dan anggun
0,Jangan disamain muka @rosameldianti_ sama orang oi. Mintanya disamain sama babi
0,Artis abal-abal.. Muka putih tangan hitam… ager2 ATM nya udah isi berapa sekarang
1,heran sama netizen klo gk suka jangan diliat aja
0,Udah ada berlian malah milih batu nisan
0,"kalo lomba samaan sm babi, babi nya nmr 2"
0,Di kasih bidadari malah pilih kotoran
1,"Menurutku pribadi, dia tulus minta maafnya…."
1,"Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia.."
0,"Ini bukan era lo lagi, mending lo mati aja babi. Kalo baca bales nyet"
1,Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa
0,Sumpah demi apapun.. Lengan nya gede banget
0,Ya ampun ketiak dan lemaknya editan parah wkwk
1,"Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA."
1,"GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim"
1,Hapus ajh ni poto ngk tau malu bgt lu bang
0,"Kasihan ya , Nagita punya suami kerjaannya berzinah terus"
0,"Gila ni siluman,, di story orang lain keliatan banget tumpukan2 lemaknya, buriknya apalagi"
1,Sabar semua komentar ini ujian
